Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(?),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(?),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
C,C15X50,C15X50,–,50.0,14.7,15.0,15      ,–,–,–,3.72,3  3/4 ,–,–,–,0.716, 11/16,  3/8 ,0.650,  5/8 ,–,–,–,1.44,1  7/16,–,0.799,–,0.583,0.490,–,–,5.72,–,17.3,–,–,404,68.5,53.8,5.24,11.0,8.14,3.77,0.865,–,–,–,2.65,492,–,17.4,13.7,11.6,5.86,14.0,34.1,5.49,0.937,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.17,14.4,39.7,–,43.4,33.7,37.4,12  1/8 ,2  1/4 ,–,C380X74,C380X74,74.0,9480,381,381,–,–,–,94.5,95.2,–,–,–,18.2,17.5,9.52,16.5,15.9,–,–,–,36.6,36.5,–,20.3,–,14.8,12.4,–,–,5.72,–,17.3,–,–,168,1120,882,133,4.58,133,61.8,22.0,–,–,–,1100,132,–,11200,5.70,4.83,2.44,229,559,139,0.937,–,–,–,–,–,–,–,–,–,–,–,–,–,–,29.7,366,1010,–,1100,856,950,308,57.2,–
C,C15X40,C15X40,–,40.0,11.8,15.0,15      ,–,–,–,3.52,3  1/2 ,–,–,–,0.520,  1/2 ,  1/4 ,0.650,  5/8 ,–,–,–,1.44,1  7/16,–,0.778,–,0.767,0.392,–,–,5.42,–,23.8,–,–,348,57.5,46.5,5.43,9.17,6.84,3.34,0.883,–,–,–,1.45,410,–,16.0,11.7,9.20,4.64,14.0,28.6,5.71,0.927,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.15,14.4,39.2,–,42.7,33.5,37.0,12  1/8 ,2      ,–,C380X60,C380X60,60.0,7610,381,381,–,–,–,89.4,88.9,–,–,–,13.2,12.7,6.35,16.5,15.9,–,–,–,36.6,36.5,–,19.8,–,19.5,9.96,–,–,5.42,–,23.8,–,–,145,942,762,138,3.82,112,54.7,22.4,–,–,–,604,110,–,10300,4.87,3.83,1.93,229,469,145,0.927,–,–,–,–,–,–,–,–,–,–,–,–,–,–,29.2,366,996,–,1080,851,940,308,50.8,–
C,C15X33.9,C15X33.9,–,33.9,10.0,15.0,15      ,–,–,–,3.40,3  3/8 ,–,–,–,0.400,  3/8 ,  3/16,0.650,  5/8 ,–,–,–,1.44,1  7/16,–,0.788,–,0.896,0.332,–,–,5.23,–,30.9,–,–,315,50.8,42.0,5.61,8.07,6.19,3.09,0.901,–,–,–,1.01,358,–,15.1,10.4,7.55,3.81,14.0,25.2,5.94,0.920,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.13,14.4,38.8,–,42.2,33.4,36.8,12  1/8 ,2      ,–,C380X50.4,C380X50.4,50.4,6450,381,381,–,–,–,86.4,85.7,–,–,–,10.2,9.52,4.76,16.5,15.9,–,–,–,36.6,36.5,–,20.0,–,22.8,8.43,–,–,5.23,–,30.9,–,–,131,832,688,142,3.36,101,50.6,22.9,–,–,–,420,96.1,–,9740,4.33,3.14,1.59,229,413,151,0.920,–,–,–,–,–,–,–,–,–,–,–,–,–,–,28.7,366,986,–,1070,848,935,308,50.8,–
C,C12X30,C12X30,–,30.0,8.81,12.0,12      ,–,–,–,3.17,3  1/8 ,–,–,–,0.510,  1/2 ,  1/4 ,0.501,  1/2 ,–,–,–,1.13,1  1/8 ,–,0.674,–,0.618,0.367,–,–,6.33,–,19.4,–,–,162,33.8,27.0,4.29,5.12,4.32,2.05,0.762,–,–,–,0.861,151,–,11.7,6.01,4.91,2.45,7.66,16.8,4.54,0.919,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.01,11.5,32.3,–,35.5,27.2,30.3,9  3/4 ,1  3/4 ,–,C310X45,C310X45,45.0,5680,305,305,–,–,–,80.5,79.4,–,–,–,13.0,12.7,6.35,12.7,12.7,–,–,–,28.7,28.6,–,17.1,–,15.7,9.32,–,–,6.33,–,19.4,–,–,67.4,554,442,109,2.13,70.8,33.6,19.4,–,–,–,358,40.5,–,7550,2.50,2.04,1.02,126,275,115,0.919,–,–,–,–,–,–,–,–,–,–,–,–,–,–,25.7,292,820,–,902,691,770,248,44.5,–
C,C12X25,C12X25,–,25.0,7.34,12.0,12      ,–,–,–,3.05,3      ,–,–,–,0.387,  3/8 ,  3/16,0.501,  1/2 ,–,–,–,1.13,1  1/8 ,–,0.674,–,0.746,0.306,–,–,6.09,–,25.6,–,–,144,29.4,24.0,4.43,4.45,3.82,1.87,0.779,–,–,–,0.538,130,–,11.0,5.29,4.02,1.99,7.67,14.6,4.72,0.909,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.00,11.5,32.0,–,35.0,27.1,30.1,9  3/4 ,1  3/4 ,–,C310X37,C310X37,37.0,4740,305,305,–,–,–,77.5,76.2,–,–,–,9.83,9.52,4.76,12.7,12.7,–,–,–,28.7,28.6,–,17.1,–,18.9,7.77,–,–,6.09,–,25.6,–,–,59.9,482,393,113,1.85,62.6,30.6,19.8,–,–,–,224,34.9,–,7100,2.20,1.67,0.828,126,239,120,0.909,–,–,–,–,–,–,–,–,–,–,–,–,–,–,25.4,292,813,–,889,688,765,248,44.5,–
C,C12X20.7,C12X20.7,–,20.7,6.08,12.0,12      ,–,–,–,2.94,3      ,–,–,–,0.282,  5/16,  3/16,0.501,  1/2 ,–,–,–,1.13,1  1/8 ,–,0.698,–,0.870,0.253,–,–,5.87,–,35.2,–,–,129,25.6,21.5,4.61,3.86,3.47,1.72,0.797,–,–,–,0.369,112,–,10.3,4.60,3.13,1.58,7.66,12.7,4.93,0.899,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.983,11.5,31.7,–,34.6,26.9,29.9,9  3/4 ,1  3/4 ,–,C310X30.8,C310X30.8,30.8,3920,305,305,–,–,–,74.7,76.2,–,–,–,7.16,7.94,4.76,12.7,12.7,–,–,–,28.7,28.6,–,17.7,–,22.1,6.43,–,–,5.87,–,35.2,–,–,53.7,420,352,117,1.61,56.9,28.2,20.2,–,–,–,154,30.1,–,6650,1.91,1.30,0.658,126,208,125,0.899,–,–,–,–,–,–,–,–,–,–,–,–,–,–,25.0,292,805,–,879,683,759,248,44.5,–
C,C10X30,C10X30,–,30.0,8.81,10.0,10      ,–,–,–,3.03,3      ,–,–,–,0.673, 11/16,  3/8 ,0.436,  7/16,–,–,–,1.00,1  1/16,–,0.649,–,0.368,0.441,–,–,6.95,–,12.1,–,–,103,26.7,20.7,3.43,3.93,3.78,1.65,0.668,–,–,–,1.22,79.5,–,9.51,4.12,3.61,1.81,4.91,13.3,3.63,0.921,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.924,9.56,28.0,–,31.0,23.0,26.1,8      ,1  3/4 ,–,C250X45,C250X45,45.0,5680,254,254,–,–,–,77.0,76.2,–,–,–,17.1,17.5,9.52,11.1,11.1,–,–,–,25.4,27.0,–,16.5,–,9.35,11.2,–,–,6.95,–,12.1,–,–,42.9,438,339,87.1,1.64,61.9,27.0,17.0,–,–,–,508,21.3,–,6140,1.71,1.50,0.753,80.5,218,92.2,0.921,–,–,–,–,–,–,–,–,–,–,–,–,–,–,23.5,243,711,–,787,584,663,203,44.5,–
C,C10X25,C10X25,–,25.0,7.35,10.0,10      ,–,–,–,2.89,2  7/8 ,–,–,–,0.526,  1/2 ,  1/4 ,0.436,  7/16,–,–,–,1.00,1  1/16,–,0.617,–,0.494,0.367,–,–,6.63,–,15.5,–,–,91.1,23.1,18.2,3.52,3.34,3.18,1.47,0.675,–,–,–,0.687,68.3,–,8.94,3.64,3.05,1.50,4.93,11.5,3.76,0.912,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.911,9.56,27.6,–,30.5,22.9,25.8,8      ,1  3/4 ,–,C250X37,C250X37,37.0,4740,254,254,–,–,–,73.4,73.0,–,–,–,13.4,12.7,6.35,11.1,11.1,–,–,–,25.4,27.0,–,15.7,–,12.5,9.32,–,–,6.63,–,15.5,–,–,37.9,379,298,89.4,1.39,52.1,24.1,17.1,–,–,–,286,18.3,–,5770,1.52,1.27,0.624,80.8,188,95.5,0.912,–,–,–,–,–,–,–,–,–,–,–,–,–,–,23.1,243,701,–,775,582,655,203,44.5,–
C,C10X20,C10X20,–,20.0,5.87,10.0,10      ,–,–,–,2.74,2  3/4 ,–,–,–,0.379,  3/8 ,  3/16,0.436,  7/16,–,–,–,1.00,1  1/16,–,0.606,–,0.636,0.294,–,–,6.28,–,21.6,–,–,78.9,19.4,15.8,3.67,2.80,2.70,1.31,0.690,–,–,–,0.368,56.9,–,8.25,3.10,2.39,1.18,4.92,9.66,3.93,0.900,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.894,9.56,27.2,–,29.9,22.7,25.5,8      ,1  1/2 ,–,C250X30,C250X30,30.0,3790,254,254,–,–,–,69.6,69.8,–,–,–,9.63,9.52,4.76,11.1,11.1,–,–,–,25.4,27.0,–,15.4,–,16.2,7.47,–,–,6.28,–,21.6,–,–,32.8,318,259,93.2,1.17,44.2,21.5,17.5,–,–,–,153,15.3,–,5320,1.29,0.995,0.491,80.6,158,99.8,0.900,–,–,–,–,–,–,–,–,–,–,–,–,–,–,22.7,243,691,–,759,577,648,203,38.1,–
C,C10X15.3,C10X15.3,–,15.3,4.48,10.0,10      ,–,–,–,2.60,2  5/8 ,–,–,–,0.240,  1/4 ,  1/8 ,0.436,  7/16,–,–,–,1.00,1  1/16,–,0.634,–,0.796,0.224,–,–,5.96,–,34.0,–,–,67.3,15.9,13.5,3.88,2.27,2.34,1.15,0.711,–,–,–,0.209,45.5,–,7.48,2.55,1.67,0.841,4.92,7.92,4.19,0.884,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.868,9.56,26.8,–,29.4,22.6,25.2,8      ,1  1/2 ,–,C250X22.8,C250X22.8,22.8,2890,254,254,–,–,–,66.0,66.7,–,–,–,6.10,6.35,3.18,11.1,11.1,–,–,–,25.4,27.0,–,16.1,–,20.2,5.69,–,–,5.96,–,34.0,–,–,28.0,261,221,98.6,0.945,38.3,18.8,18.1,–,–,–,87.0,12.2,–,4830,1.06,0.695,0.350,80.6,130,106,0.884,–,–,–,–,–,–,–,–,–,–,–,–,–,–,22.0,243,681,–,747,574,640,203,38.1,–
